gu	આ ઉપરાંત વિકિપીડિયામાં અત્યારે અનેક લેખો તૈયાર થઇ રહ્યા છે જેમને પ્રસ્તુત લેખ (માસનો ઉમદા લેખ) તરીકે રજૂ કરી શકાય તેમ છે. આ લેખોને ઉચ્ચ કક્ષાએ લઇ જવા માટે આપને હાર્દિક આમંત્રણ છે. મોટેભાગે આ લેખોને સમૃદ્ધ કરવાની અને તેમની સફાઈ કરવાની (જેમકે ત્રુટક કડીઓ દૂર કરવાની, સંદર્ભ ઉમેરવાની, મઠારવાની, વગેરે) કે અધુરા અનુવાદ પૂર્ણ કરવાની જરૂર છે. તો શું આપ ભાવનગર, સિક્કિમ, અમદાવાદની ગુફા, અમરનાથ કે પછી ક્ષત્રિયથી શરૂઆત કરશો?
mr	झीरो ए.डी. मध्ये वास्तव - काल डावपेच प्रकारातील खेळांचे तळ उभारणे, सैन्य प्रशिक्षित करणे, लढाई व तंत्रज्ञान शोध हे घटक आहेत. हा खेळ आर्थिक विकास व लढाया यांच्याशी संबंधित आहे. या खेळात प्रत्येक संस्क्रुतीसाठी विशिष्ट इमारती, सैनिक, नौका व युद्धनौका इत्यादी आहेत.
ug	19 – ئەسىردىلا ياۋروپا ئالىملىرى تەرىپىدىن "يىپەك يولى" دەپ ئاتىلىشقا باشلىغان. ھازىر شۇنداق دەپ ئاتىلىش ئادەتكە ئايلانغان ، قەدىمكى چاغدا ئاسىيا بىلەن ياۋروپا ئارىسىدىكى قۇرۇقلۇق قاتناش يولى ناھايىتى ئۇزۇن تارىخقا ئىگە. مانا شۇ يول توغرىسىدا قەدىمكى چاغدىلا جۇڭگو تارىخچىلىرى ۋە يۇنان روما ئالىملىرى مەلۇمات بەرگەن. سىماچيەن (مىلادىدىن 145 – يىل بۇرۇن تۇغۇلغان ) "تارىخى خاتىرىلەر" نامل
af	In die 13de eeu is die kerstening van Estland vanuit Denemarke deurgevoer, en die land is later deur die Duitse Orde oorheers, terwyl Duitse koopmans van die Hansebond handelskantore in Lyfland, die huidige Letland en Estland geopen het. Tallinn, wat deur die Duitsers Reval genoem is, het net soos Narva, Tartu (Dorpat), Pärnu (Pernau) en Viljandi (Fellin) tot 'n bloeiende Hansestad ontwikkel.
vi	Malcolm Turnbull thay thế Tony Abbott trong vai trò lãnh đạo Đảng Tự do và trở thành tân Thủ tướng Úc. Tại Giải quần vợt Mỹ mở rộng, Novak Djokovic vô địch nội dung đơn nam, còn Flavia Pennetta vô địch nội dung đơn nữ.
is	Íslendingar hafa verið framarlega í kvenfrelsisbaráttu í alþjóðlegu tilliti. Til marks um það var Ísland eitt af fyrstu löndunum til þess að veita konum kosningarétt til Alþingis árið 1915, kosning Vigdísar Finnbogadóttur til forseta Íslands árið 1980 var fyrsta skiptið sem kona var kosinn þjóðhöfðingi og ágætur árangur náðist hjá framboði Kvennalistans til Alþingiskosninganna 1983..
am	የ2010 እ.ኤ.አ. ፊፋ የዓለም ዋንጫ ፲፱ኛው የፊፋ የዓለም ዋንጫ የነበረ ሲሆን ከሰኔ ፬ እስከ ሐምሌ ፬ ቀን ፳፻፪ ዓ.ም. በደቡብ አፍሪካ ተካሄዷል። ውድድሩን ለማቅረብ የተካሄደው ዕጣ ውስጥ የአፍሪካ ሀገሮች ብቻ እንዲሳተፉ ነበር የተፈቀደው። ደቡብ አፍሪካ ግብፅና ሞሮኮን በማሸነፍ የመጀመሪያው የዓለም ዋንጫን ያቀረበች አፍሪካዊ ሀገር 
it	Successivamente avrebbe preso il via la campagna terrestre di Overlord, conosciuta come battaglia di Normandia, in cui le armate alleate avrebbero avuto lo scopo di rafforzare ed espandere la testa di ponte nella Francia occupata, conquistare i principali porti nord-occidentali della Francia e spingersi verso l'interno fino a liberare Parigi. Da qui le forze alleate avrebbero quindi continuato la loro avanzata per spingere i tedeschi oltre la Senna, minacciando direttamente il territorio tedesco in concomitanza con l'avanzata sovietica ad est, e concorrere all'invasione della Germania e alla distruzione del Terzo Reich.
vo	Atimo no dabinon vödem su pad at. Kanol sukön padatiädi at su pads votik u redakön padi at. 
as	আবুল পাকিৰ জয়নুল আবেদিন আব্দুল কালাম (১৫ অক্টোবৰ ১৯৩১- ২৭ জুলাই ২০১৫) বা ড° এ. পি. জে. আব্দুল কালাম, এজন ভাৰতীয় বিজ্ঞানী, ৰাজনীতিবিদ আৰু ভাৰতৰ প্ৰাক্তন ৰাষ্ট্ৰপতি আছিল। কালামৰ জন্ম আৰু শৈশৱ তামিলনাডুৰ ৰামেশ্বৰম নামে ঠাইত হৈছিল। তেখেতে তিৰুচিৰাপল্লীৰ চেইণ্ট যোচেফ কলেজৰ পৰা পদাৰ্থ বিজ্ঞান আৰু চেন্নাইৰ মাদ্ৰাছ ইনষ্টিটিউট অৱ টেকন'লজি (MIT), এ’ৰস্পেছ ইঞ্জিনিয়াৰিং বিষয় হিচাপে লৈ উত্তীৰ্ণ হয়। ৰাষ্ট্ৰপতি পদত অধিষ্ঠিত হোৱাৰ আগেয়ে, তেখেত এজন এ’ৰস্পেছ অভিযন্তা হিচাপে প্ৰতিৰক্ষা গৱেষণা আৰু বিকাশ সংস্থা (DRDO) আৰু ভাৰতীয় মহাকাশ অধ্যয়ন সংস্থাত (ISRO) কাৰ্যনিৰ্বাহ কৰিছিল। কালামৰ আন এটা জনপ্ৰিয় নাম হৈছে "ভাৰতৰ মিছাইল মানৱ"। ভাৰতত বেলিষ্টিক ক্ষেপণাস্ত্ৰ (ballistic missile) আৰু "উৎক্ষেপণ যান" (launch vehicle) প্ৰযুক্তিৰ বিকাশৰ ক্ষেত্ৰত তেখেতৰ অৰিহণাৰ বাবে এই উপাধি প্ৰদান কৰা হৈছিল। ১৯৭৪ চনৰ প্ৰথম নিউক্লীয়েৰ পৰীক্ষাৰ পাছত, ১৯৯৮ চনত হোৱা ভাৰতৰ "পোখৰান-২" নিউক্লীয়েৰ পৰীক্ষণত ড° কালামে কাৰিকৰী দিশৰ উপৰিও ৰাজনৈতিক আৰু সাংগঠনিক দিশত মুখ্য ভুমিকা পালন কৰিছিল। ২০০২ চনত ড° কালামে লক্ষ্মী চেহগলক নিৰ্বাচনত পৰাস্ত কৰি ভাৰতৰ ৰাষ্ট্ৰপতি নিৰ্বাচিত হৈছিল। ২০১৫ চনৰ ২৭ জুলাইত শ্বিলঙৰ আই আই এমত এক বক্তৃতা প্ৰদান অনুষ্ঠানৰ মাজতে অসুস্থ হৈ পৰি বেথানী চিকিৎসালয়ত কালামৰ মৃত্যু হয়।
ar	عن ويكيبيديا · مرحبا بالزوار الجدد · كيفية تعديل الصفحات · حقوق النشر · أسئلة · مساعدة
zu	IsiZulu singulimi lwamaZulu. Ngulimi lwesiNguni. Sikhulunywa eNingizimu Afrika ngabantu abangu-10 677 305 (ukubala kwesizwe kuka-2001) futhi siqondwa ngabantu abangu-25000000
az	Məkkə şəhərinin yaxınlığında yerləşən Mina dağında ziyarət zamanı yaranan izdiham nəticəsində həlak olan zəvvarların sayı 717-yə, yaralananların sayı isə 805-ə çatıb.
id	Setelah penyelidikan dari EPA, pabrikan otomotif Volkswagen (VW) mengakui melakukan kecurangan uji emisi besar-besaran.
nl	Voordien was Nirvana een van de vele obscure groepjes uit Seattle, nadien waren ze een commerciële hoogvlieger. Samen met andere grungebands uit Seattle (zoals Pearl Jam en Alice in Chains) veranderde het uitzicht van de commerciële muziek volledig. 
nn	Oboen er om lag 60 cm lang, og ein får dei ulike tonane ved å tette eller opne klaffar. På 1800-talet vart klaffesystemet støtt utvikla til det systemet oboen har i dag. Oboen var eit av de fyrste treblåsinstrumenta som fekk fast plass i symfoniorkesteret.
no	Ved rikets absolutte høydepunkt, rundt 110, var dets omfang rundt 5,9 millioner kvadratkilometer, av det 2,3 millioner kvadratkilometer fastland. Bare det kinesiske Han-dynastiet kunne komme opp mot en slik størrelse på den tiden.
ne	नेपालमा बैसाख १२ गते गएको ७.८ रेक्टर स्केलको बिनाशकारी महाभूकम्पका कारण ठूलो जनधनको क्षति भएको छ ।
fr	Le cadre du projet est défini par des principes fondateurs. Son contenu est sous licence Creative Commons by-sa et peut être copié et réutilisé sous la même licence — même à des fins commerciales — sous réserve d'en respecter les conditions.
sv	Nya Varvet är en stadsdel, en före detta örlogshamn och ett fängelse i Göteborgs kommun. Stadsdelen har en areal på 80 hektar. Nya Varvsområdet bildade 1876-1931 Nya Varvets landskommun.
fa	او به اتّهام دست داشتن در قتل عموی بزرگش محمدتقی برغانی معروف به «شهید ثالث» بازداشت شد و سه سال بعد، مدتی پس از ترور نافرجام ناصرالدین‌شاه و همزمان با بسیاری از بابیان دیگر، در تهران به جرم فساد فی‌الارض اعدام شد. او نخستین زنی بود که به این اتهام اعدام شد.
fi	Elafónisos asutettiin ensimmäisen kerran neoliittisella kaudella, ja antiikin aikaan siellä harrastettiin paljon saarelle nimen antaneiden saksanhirvien metsästystä. Saari oli Bysantin hallussa, kun saraseenit valtasivat sen 800-luvulla ja tappoivat väestön. 
fo	Javnaðarflokkurin og andstøðan vinna Løgtingsvalið 2015. Toppskorari gerst Aksel V. Johannesen (myndin) við 2405 pesónligum atkvøðum, ið er eitt nýtt føroyskt met.
ka	ევრობასკეტის 1/8 ფინალში საქართველოს ნაკრები ლიტვის ნაკრებთან ანგარიშით 81:85 დამარცხდა და გათამაშებას გამოეთიშა.
kk	Қазақ ханы 1643 жылы Орбұлақ шайқасында 600 сарбазымен жоңғардың 50000 әскеріне тойтарыс беріп, 300 спарталықтың ерлігін қайталаған.
sr	За све своје опере сам је писао либрето (или, у вагнеровском речнику, „поему“), што је последица веровања у „свеукупну уметност“, а улагао је велики труд како би их извео онако како је замислио. С тим циљем је и подигао сопствену оперску кућу. Осим тога, Вагнер је био и велики диригент који је, према чувеном Вилхелму Фуртвенглеру, заједно с Хансом фон Биловом довео до стварања нове генерације диригената.
sq	Çdokush prej jush mund të kontribuojë vullnetarisht me dijen e tij për zgjerimin e mëtejshëm të kësaj enciklopedie të lirë. Hapat fillestare janë më se të thjeshta. Shikoni edhe këtu.
ko	위키백과는 다섯 가지 기본 원칙에 따라 운영됩니다. 모든 문서는 크리에이티브 커먼즈 저작자표시-동일조건변경허락 3.0에 따라 사용할 수 있으며, 복사, 수정과 배포가 자유롭고 상업적 목적의 사용도 가능합니다.
kn	ತಾತ್ಯಾ ಟೋಪೆ ಅವರು ಮಹಾರಾಷ್ಟ್ರದ ನಾಸಿಕ್ ಜಿಲ್ಲೆಯ ಯೆವೋಲಾ ಗ್ರಾಮದಲ್ಲಿ ೧೮೧೪ರ ವರ್ಷದಲ್ಲಿ ಜನಿಸಿದರು. ಅವರ ಪಾಂಡುರಂಗ ರಾವ್ ಜವಳೇಕರ್ ಮತ್ತು ತಾಯಿ ರುಕ್ಮಾಬಾಯಿ.
km	វិគីភីឌាភាសាខ្មែរត្រូវបានស្ថាបនានិងទ្រទ្រង់ដោយអ្នកស្ម័គ្រចិត្តពីគ្រប់មជ្ឍដ្ឋាន។ លោកអ្នកក៏អាចក្លាយជាអ្នកស្ម័គ្រចិត្តម្នាក់ដែរ។ លោកអ្នក​អាច​ជួយ​លើក​ស្ទួយ​វិគីភីឌាភាសាខ្មែរ​នេះ​ឲមាន​លក្ខណៈ​ល្អ​ប្រសើរ​ឡើង​បាន តាម​រយៈ​ការ​ជួយ​សរសេរអត្ថបទថ្មីៗ កែប្រែ​អត្ថបទដែល​មិនទាន់មាន​ខ្លឹម​សារ​​គ្រប់​គ្រាន់​និង​បញ្ចូលរូបភាព។ រួម​កម្លាំង​គ្នា​​ដើម្បី​​ស្ថាបនា​សព្វវចនាធិប្បាយ​ជា​ភាសាខ្មែរ​តែ​មួយ​គត់​នៅ​លើ​អ៊ីនធើណិត​នេះ​ឱ្យ​​មាន​​គុណ​ភាព​គ្រប់​គ្រាន់​​ជា​ប្រភព​សិក្សា​សម្រាប់​ប្រជាជន​ខ្មែរ​គ្រប់ៗ​រូប។
sk	Abundantia je rímska alegorická bohyňa hojnosti, personifikácie prosperity a blahobytu. Zobrazovaná bola často na minciach ako žena s rohom hojnosti a snopom obilia. Tiež bola spodobňovaná, ako rozsieva obilie alebo rozhadzuje peniaze. Veľmi obľúbená bola v období cisárstva; rímske cisárovné sa často nechávali zobrazovať v podobe Abundantie.
si	මෙහි දැක්වෙන්නේ මුල්ම බෙන්ස් මෝටර් රථයයි. මෝටර් රථය හෙවත් “ඔටෝමොබිල්” (ප්‍රංශ හා ශ්‍රීක භාෂා මගින් ඔටෝ යන්නෙන් ස්වයංක්‍රීය යන්නද ලතින් භාෂාවෙන් මොබිලයිස් යන්නෙන් වෙනත් රථයක් හෝ සතෙකු මගින් චලනය නොවී එය මගින්ම චලනය වීම ‍වේ) යනු රෝද සහිත මගී රථයක් වන අතර එයට ස්වකීය එන්ජිමක් හෝ මෝටරයක් අඩංගු ‍වේ. බෙහොමයක් අර්ථ දැක්වීම්‍වලට අනුව මෝටර් රථ මූලික වශයෙන් මාර්ගවල ධාවනයට නිපදවා ඇති අතර එයට එහි පුද්ගලයෙකු සිට 8 දෙනෙකු දක්වා අසුන් ගැනී‍මේ හැකියාවක් පවතී.
ku	Razên pîşeya Chaplîn ew bûn ku gavên xwe ji hev vedikirin û dimeşiya, dikaribû hestên xwe bi rûyê xwe nîşan bide û laşê xwe bi hosteyî bi kar bîne. Dema ku Chaplîn bi Fred Karno re dixebitî, ev fêr bûn.
sl	Republika Italija (italijansko Repubblica Italiana) je unitarna parlamentarna republika v južni Evropi. Italija pokriva območje 301.338 km2, v glavnem Apeninski polotok, ki ga zaradi značilne oblike včasih imenujejo lo Stivale, to je škorenj. Prevladuje sredozemsko podnebje. Z 61 milijoni prebivalcev je med članicami EU po številu prebivalcev na četrtem mestu. Italija je visoko razvita država in ima po obsegu BDP tretje največje gospodarstvo v Evro-območju ter osmo v svetovnem merilu.
ky	Президент Алмазбек Атамбаев Маскөөдөгү жумуш сапарынын жүрүшүндө Волоколамск шаарында Советтер Союзунун баатыры Дүйшөнкул Шопоковдун эстелигинин ачылышына катышты.
sw	Kila mtu anaweza kuhariri makala yoyote, kutoa makosa ya lugha, kutohoa maneno na kuendeleza na kukuza makala, kwa kuandika kwa ufupi au kwa urefu. Tunakushauri ujiandikishe na kufungua akaunti. Angalia Msaada wa kuanzisha makala ili ujifunze unavyoweza kuhariri au kusanifisha ukurasa. Usisite kushiriki; kwa sababu huu ni mradi wa ushirikiano, na hautaisha kamwe. Kamusi elezo itaimarika vizuri zaidi kila wakati. Angalia ukurasa wa jumuia, ukurasa wa jamii, na ule wa makala za msingi za kamusi elezo ili kung'amua unaweza kufanya kazi zipi ili kuboresha Wikipedia.
se	Guovdageainnu suohkan (dárogillii Kautokeino kommune, kveanagillii: Koutokeinon komuuni, suomagillii: Koutokeinon kunta) lea gielda Finnmárkku fylkkas. Dan olmmošlohku lea 2 910[1] ja viidodat lea 9 707,4 km². Gieldda hálddahusguovddáš lea Guovdageaidnu.
